#NAME,DATE,VMAG,VERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
N SCO 1437,2458974.07167,15.734,0.014,CV,NO,STD,143-000-BLZ-687,11.750,151-000-BLZ-686,12.466,1.1772,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07240,15.692,0.014,CV,NO,STD,143-000-BLZ-687,11.773,151-000-BLZ-686,12.490,1.1748,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07311,15.684,0.014,CV,NO,STD,143-000-BLZ-687,11.761,151-000-BLZ-686,12.458,1.1725,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07384,15.720,0.014,CV,NO,STD,143-000-BLZ-687,11.739,151-000-BLZ-686,12.441,1.1701,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07457,15.743,0.014,CV,NO,STD,143-000-BLZ-687,11.750,151-000-BLZ-686,12.446,1.1678,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07529,15.745,0.014,CV,NO,STD,143-000-BLZ-687,11.760,151-000-BLZ-686,12.458,1.1655,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07602,15.800,0.015,CV,NO,STD,143-000-BLZ-687,11.768,151-000-BLZ-686,12.462,1.1632,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07675,15.812,0.015,CV,NO,STD,143-000-BLZ-687,11.767,151-000-BLZ-686,12.474,1.1609,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07747,15.770,0.015,CV,NO,STD,143-000-BLZ-687,11.792,151-000-BLZ-686,12.502,1.1587,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07819,15.782,0.015,CV,NO,STD,143-000-BLZ-687,11.753,151-000-BLZ-686,12.461,1.1565,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07892,15.861,0.016,CV,NO,STD,143-000-BLZ-687,11.749,151-000-BLZ-686,12.453,1.1543,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.07964,15.847,0.015,CV,NO,STD,143-000-BLZ-687,11.746,151-000-BLZ-686,12.447,1.1522,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08037,15.852,0.016,CV,NO,STD,143-000-BLZ-687,11.760,151-000-BLZ-686,12.480,1.1500,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08110,15.821,0.015,CV,NO,STD,143-000-BLZ-687,11.735,151-000-BLZ-686,12.445,1.1479,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08183,15.816,0.015,CV,NO,STD,143-000-BLZ-687,11.746,151-000-BLZ-686,12.452,1.1458,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08255,15.847,0.015,CV,NO,STD,143-000-BLZ-687,11.736,151-000-BLZ-686,12.446,1.1437,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08328,15.823,0.015,CV,NO,STD,143-000-BLZ-687,11.747,151-000-BLZ-686,12.452,1.1417,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08400,15.860,0.015,CV,NO,STD,143-000-BLZ-687,11.744,151-000-BLZ-686,12.449,1.1396,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08472,15.822,0.015,CV,NO,STD,143-000-BLZ-687,11.753,151-000-BLZ-686,12.444,1.1376,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08545,15.738,0.014,CV,NO,STD,143-000-BLZ-687,11.733,151-000-BLZ-686,12.437,1.1356,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08618,15.623,0.013,CV,NO,STD,143-000-BLZ-687,11.743,151-000-BLZ-686,12.450,1.1337,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08690,15.629,0.013,CV,NO,STD,143-000-BLZ-687,11.740,151-000-BLZ-686,12.450,1.1317,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08763,15.635,0.013,CV,NO,STD,143-000-BLZ-687,11.722,151-000-BLZ-686,12.437,1.1298,na,X25341EJ,T50 - Siding Spring(Clear->V)
N SCO 1437,2458974.08836,15.639,0.013,CV,NO,STD,143-000-BLZ-687,11.737,151-000-BLZ-686,12.428,1.1279,na,X25341EJ,T50 - Siding Spring(Clear->V)
